query,intent,response,entities
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show transaction history,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
show my last 5 transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
last transactions,transaction_inquiry,Your last few transactions are available on your dashboard.,
show transaction history,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
recent transactions,transaction_inquiry,Please visit the 'Transactions' page to view all transaction details.,
recent transactions,transaction_inquiry,You can see your full transaction history in the 'Transactions' section.,
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
make payment,transfer_money,"Sure, who would you like to send money to?",
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
transfer 2000 to John,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
transfer 2000 to John,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
make payment,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",
transfer 2000 to John,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
make payment,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,
transfer 2000 to John,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
make payment,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:John|MONEY:2000
make payment,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
make payment,transfer_money,"Sure, who would you like to send money to?",
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer 2000 to John,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",
transfer 2000 to John,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please confirm the recipient and transfer amount.,
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",
send money to Priya,transfer_money,"Sure, who would you like to send money to?",
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer funds,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
make payment,transfer_money,"Sure, who would you like to send money to?",
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
transfer 2000 to John,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
make payment,transfer_money,"Sure, who would you like to send money to?",
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
i want to send 3000 to Ravi,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,"Sure, who would you like to send money to?",PERSON:John|MONEY:2000
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
transfer 2000 to John,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
transfer 2000 to John,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Ravi|MONEY:3000
i want to send 3000 to Ravi,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Priya|MONEY:1500
make payment,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
make payment,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:John|MONEY:2000
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Priya|MONEY:1500
send money to Priya,transfer_money,"Sure, who would you like to send money to?",PERSON:Ravi|MONEY:3000
make payment,transfer_money,Please confirm the recipient and transfer amount.,PERSON:Ravi|MONEY:3000
transfer funds,transfer_money,Please provide the recipient name and amount to initiate the transfer.,PERSON:Priya|MONEY:1500
